P04_A	cnx3
P04_B	cnx3
P05_A	cnx3
P05_B	cnx3
P07_A	cnx3
P07_B	cnx3
P12_A	cnx3
P12_B	cnx3
P13_A	cnx3
P13_B	cnx3
S02_A	cnx3
S02_B	cnx3
S03_A	cnx3
S03_B	cnx3
S04_A	cnx3
S04_B	cnx3
S06_A	cnx3
S06_B	cnx3
S09_A	cnx3
S09_B	cnx3
S10_A	cnx3
S10_B	cnx3
S11_A	cnx3
S11_B	cnx3
S13_A	cnx3
S13_B	cnx3
S15_A	cnx3
S15_B	cnx3
S16_A	cnx3
S16_B	cnx3
E01_A	cor1
E01_B	cor1
E02_A	cor1
E02_B	cor1
E03_A	cor1
E03_B	cor1
E04_A	cor1
E04_B	cor1
E05_A	cor1
E05_B	cor1
E06_A	cor1
E06_B	cor1
E07_A	cor1
E07_B	cor1
E08_A	cor1
E08_B	cor1
E09_A	cor1
E09_B	cor1
E10_A	cor1
E10_B	cor1
E11_A	cor1
E11_B	cor1
E12_A	cor1
E12_B	cor1
E13_A	cor1
E13_B	cor1
E14_A	cor1
E14_B	cor1
E15_A	cor1
E15_B	cor1
D01_A	cor2
D01_B	cor2
D02_A	cor2
D02_B	cor2
D03_A	cor2
D03_B	cor2
D04_A	cor2
D04_B	cor2
D05_A	cor2
D05_B	cor2
D06_A	cor2
D06_B	cor2
D07_A	cor2
D07_B	cor2
D08_A	cor2
D08_B	cor2
D09_A	cor2
D09_B	cor2
D10_A	cor2
D10_B	cor2
D11_A	cor2
D11_B	cor2
D12_A	cor2
D12_B	cor2
D13_A	cor2
D13_B	cor2
D16_A	cor2
D16_B	cor2
D17_A	cor2
D17_B	cor2
FS66096_A	outgroup
FS66096_B	outgroup
NC3_A	outgroup
NC3_B	outgroup
NC5_A	outgroup
NC5_B	outgroup
NC6_A	outgroup
NC6_B	outgroup
NC8_A	outgroup
NC8_B	outgroup
