61.3	cnx3
62.3	cnx3
63.3	cnx3
64.3	cnx3
65.3	cnx3
66.3	cnx3
67.3	cnx3
68.3	cnx3
69.3	cnx3
70.3	cnx3
71.3	cnx3
72.3	cnx3
73.3	cnx3
74.3	cnx3
75.3	cnx3
76.3	cnx3
77.3	cnx3
78.3	cnx3
79.3	cnx3
80.3	cnx3
81.3	cnx3
82.3	cnx3
83.3	cnx3
84.3	cnx3
85.3	cnx3
86.3	cnx3
87.3	cnx3
88.3	cnx3
89.3	cnx3
90.3	cnx3
1.1	cor1
2.1	cor1
3.1	cor1
4.1	cor1
5.1	cor1
6.1	cor1
7.1	cor1
8.1	cor1
9.1	cor1
10.1	cor1
11.1	cor1
12.1	cor1
13.1	cor1
14.1	cor1
15.1	cor1
16.1	cor1
17.1	cor1
18.1	cor1
19.1	cor1
20.1	cor1
21.1	cor1
22.1	cor1
23.1	cor1
24.1	cor1
25.1	cor1
26.1	cor1
27.1	cor1
28.1	cor1
29.1	cor1
30.1	cor1
31.2	cor2
32.2	cor2
33.2	cor2
34.2	cor2
35.2	cor2
36.2	cor2
37.2	cor2
38.2	cor2
39.2	cor2
40.2	cor2
41.2	cor2
42.2	cor2
43.2	cor2
44.2	cor2
45.2	cor2
46.2	cor2
47.2	cor2
48.2	cor2
49.2	cor2
50.2	cor2
51.2	cor2
52.2	cor2
53.2	cor2
54.2	cor2
55.2	cor2
56.2	cor2
57.2	cor2
58.2	cor2
59.2	cor2
60.2	cor2
91.4	cnx6
92.4	cnx6
93.4	cnx6
94.4	cnx6
95.4	cnx6
96.4	cnx6
97.4	cnx6
98.4	cnx6
99.4	cnx6
100.4	cnx6
101.5	O
102.5	O
103.5	O
104.5	O
105.5	O
106.5	O
107.5	O
108.5	O
109.5	O
110.5	O
