61.3	EURns
62.3	EURns
63.3	EURns
64.3	EURns
65.3	EURns
66.3	EURns
67.3	EURns
68.3	EURns
69.3	EURns
70.3	EURns
71.3	EURns
72.3	EURns
73.3	EURns
74.3	EURns
75.3	EURns
76.3	EURns
77.3	EURns
78.3	EURns
79.3	EURns
80.3	EURns
81.3	EURns
82.3	EURns
83.3	EURns
84.3	EURns
85.3	EURns
86.3	EURns
87.3	EURns
88.3	EURns
89.3	EURns
90.3	EURns
1.1	SPA
2.1	SPA
3.1	SPA
4.1	SPA
5.1	SPA
6.1	SPA
7.1	SPA
8.1	SPA
9.1	SPA
10.1	SPA
11.1	SPA
12.1	SPA
13.1	SPA
14.1	SPA
15.1	SPA
16.1	SPA
17.1	SPA
18.1	SPA
19.1	SPA
20.1	SPA
21.1	SPA
22.1	SPA
23.1	SPA
24.1	SPA
25.1	SPA
26.1	SPA
27.1	SPA
28.1	SPA
29.1	SPA
30.1	SPA
31.2	EURc
32.2	EURc
33.2	EURc
34.2	EURc
35.2	EURc
36.2	EURc
37.2	EURc
38.2	EURc
39.2	EURc
40.2	EURc
41.2	EURc
42.2	EURc
43.2	EURc
44.2	EURc
45.2	EURc
46.2	EURc
47.2	EURc
48.2	EURc
49.2	EURc
50.2	EURc
51.2	EURc
52.2	EURc
53.2	EURc
54.2	EURc
55.2	EURc
56.2	EURc
57.2	EURc
58.2	EURc
59.2	EURc
60.2	EURc
91.4	O
92.4	O
93.4	O
94.4	O
95.4	O
96.4	O
97.4	O
98.4	O
99.4	O
100.4	O
